Height:-60 SmoothPos:43.45% OrigPos:44.0
5.421805836908362430e-02 -5.674649999999999833e-02
6.090460344965105410e-02 -6.035730000000000262e-02
6.802618141200171553e-02 -6.400279999999999858e-02
7.559079662970862035e-02 -6.768739999999999479e-02
8.360587484692993954e-02 -7.141450000000000575e-02
9.207305551367458984e-02 -7.517709999999999670e-02
1.009874202799157517e-01 -7.896010000000000528e-02
1.103443401103340882e-01 -8.274850000000000261e-02
1.201387037784311385e-01 -8.652700000000000669e-02
1.303656893724159105e-01 -9.028049999999999964e-02
1.410203785422615985e-01 -9.399369999999999947e-02
1.520977564997055831e-01 -9.765150000000000219e-02
1.635930013329568444e-01 -1.012385999999999980e-01
1.755011946919886046e-01 -1.047397999999999940e-01
1.878173217885382162e-01 -1.081397000000000053e-01
2.005366571490504735e-01 -1.114234000000000058e-01
2.136540895470269985e-01 -1.145754999999999968e-01
2.271647006324409301e-01 -1.175809000000000021e-01
2.410637649317370901e-01 -1.204246999999999956e-01
2.553461712184170729e-01 -1.230919000000000041e-01
2.700070975806898588e-01 -1.255677000000000043e-01
2.850415292302928560e-01 -1.278372000000000119e-01
3.004447406936707754e-01 -1.298861000000000043e-01
3.162116207443252947e-01 -1.317001999999999895e-01
3.323319469292594919e-01 -1.332724999999999882e-01
3.487740875071243529e-01 -1.346031000000000033e-01
3.655010101953652391e-01 -1.356924999999999937e-01
3.824755862731913925e-01 -1.365409999999999957e-01
3.996608798962838494e-01 -1.371495000000000075e-01
4.170196659056161770e-01 -1.375186999999999937e-01
4.345151048951051975e-01 -1.376497000000000137e-01
4.532928004124790466e-01 -1.375435000000000130e-01
4.721371886132216256e-01 -1.372010999999999925e-01
4.910087479071885141e-01 -1.366234000000000059e-01
5.098679567042352367e-01 -1.358110999999999902e-01
5.286751904934097190e-01 -1.347646999999999873e-01
5.473910306053753061e-01 -1.334849999999999925e-01
5.659759554499872447e-01 -1.319722000000000117e-01
5.843902375954861395e-01 -1.302267000000000008e-01
6.025945612933427675e-01 -1.282486999999999933e-01
6.205494049534125978e-01 -1.260383999999999949e-01
6.382150411439359017e-01 -1.235957000000000028e-01
6.555520511955759133e-01 -1.209206000000000031e-01
6.725230748551493942e-01 -1.180125999999999953e-01
6.891402567779607580e-01 -1.148650999999999978e-01
7.054649377653804398e-01 -1.114639999999999936e-01
7.215611345597775506e-01 -1.077947999999999962e-01
7.374923492994832630e-01 -1.038431999999999966e-01
7.533223928852514906e-01 -9.959450000000000247e-02
7.691149732970284925e-01 -9.503380000000000161e-02
7.849336955939533178e-01 -9.014610000000000678e-02
8.008424735975873121e-01 -8.491600000000000537e-02
8.169049123670694135e-01 -7.932759999999999811e-02
8.331848228031535353e-01 -7.336489999999999678e-02
8.497457070441708504e-01 -6.701120000000000687e-02
8.666515818324904696e-01 -6.024960000000000038e-02
8.839659493064435658e-01 -5.306290000000000312e-02
9.017525174459766202e-01 -4.543330000000000285e-02
9.200752000726510893e-01 -3.734289999999999832e-02
9.389974993247982571e-01 -2.877319999999999878e-02
9.585833290239795801e-01 -1.970560000000000020e-02
9.788961913085261202e-01 -1.012109999999999919e-02
1.000000000000000000e+00 0.000000000000000000e+00
